​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ NONE 0.15 550 0.35 0.95 250
[Violation] Forced reflow while executing JavaScript took 45ms
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
​ 869 174 45
​ 870 174 45
​ 871 174 45
​ 872 174 46
​ 873 175 45
​ 874 176 44
​ 875 176 44
​ 876 176 44
​ 877 176 44
​ 878 176 44
​ 879 176 46
​ 880 176 46
​ 881 176 46
​ 882 177 45
​ 883 176 45
​ 884 177 48
​ 885 176 47
​ 886 176 45
​ 887 176 45
​ 888 177 45
​ 889 177 44
​ 890 177 44
​ 891 178 43
​ 892 178 45
​ 893 178 45
​ 894 178 45
​ 895 178 45
​ 896 180 43
​ 897 182 41
​ 898 183 40
​ 899 184 38
​ 900 185 38
​ 901 185 39
​ 902 185 40
​ 903 185 40
​ 904 186 37
​ 905 185 39
​ 906 185 40
​ 907 185 40
​ 908 185 41
​ 909 185 40
​ 910 185 41
​ 911 185 43
​ 912 183 44
​ 913 183 43
​ 914 183 43
​ 915 183 43
​ 916 183 44
​ 917 182 43
​ 918 182 44
​ 919 182 44
​ 920 182 44
​ 921 182 46
​ 922 182 44
​ 923 182 44
​ 924 182 45
​ 925 183 44
​ 926 183 44
​ 927 183 44
​ 928 183 45
​ 929 183 44
​ 930 182 44
​ 931 182 46
​ 932 182 46
​ 933 182 47
​ 934 182 47
​ 935 182 48
​ 936 182 48
​ 937 182 47
​ 938 182 47
​ 939 181 47
​ 940 181 47
​ 941 181 47
​ 942 181 48
​ 943 181 47
​ 944 180 47
​ 945 180 47
​ 946 179 47
​ 947 179 46
​ 948 179 46
​ 949 179 46
​ 950 178 46
​ 951 178 46
​ 952 179 46
​ 953 178 46
​ 954 178 47
​ 955 178 47
​ 956 177 47
​ 957 175 49
​ 958 175 49
​ 959 176 47
​ 960 176 47
​ 961 176 47
​ 962 176 47
​ 963 176 46
​ 964 175 46
​ 965 175 47
​ 966 175 47
​ 967 175 46
​ 968 175 45
​ 969 176 44
​ 970 176 43
​ 971 176 42
​ 972 176 42
​ 973 176 43
​ 974 177 42
​ 975 178 42
​ 976 178 44
​ 977 178 45
​ 978 178 44
​ 979 178 45
​ 980 178 45
​ 981 178 44
​ 982 179 43
​ 983 179 44
​ 984 179 43
​ 985 180 42
​ 986 182 40
​ 987 182 40
​ 988 182 40
​ 989 182 39
​ 990 182 40
​ 991 182 39
​ 992 182 38
​ 993 181 37
​ 994 181 38
​ 995 181 40
​ 996 181 40
​ 997 181 39
​ 998 183 37
​ 999 183 37
​ 1000 183 37
​ 1001 183 37
​ 1002 184 36
​ 1003 184 36
​ 1004 184 36
​ 1005 185 34
​ 1006 185 34
​ 1007 185 33
​ 1008 184 34
​ 1009 184 34
​ 1010 184 34
​ 1011 185 33
​ 1012 185 33
​ 1013 185 33
​ 1014 185 33
​ 1015 184 33
​ 1016 183 32
​ 1017 184 31
​ 1018 185 30
​ 1019 185 32
​ 1020 185 33
