​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ CONST:0.3 0.15 550 0.35 0.95 250
​ [Violation] 'load' handler took 169ms
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
​ 445 120 149
​ 446 120 150
​ 447 119 150
​ 448 121 148
​ 449 121 148
​ 450 123 145
​ 451 124 143
​ 452 125 140
​ 453 124 140
​ 454 126 138
​ 455 127 137
​ 456 127 137
​ 457 127 135
​ 458 128 135
​ 459 129 134
​ 460 130 133
​ 461 130 134
​ 462 130 133
​ 463 130 133
​ 464 130 133
​ 465 130 133
​ 466 130 133
​ 467 130 133
​ 468 129 133
​ 469 130 132
​ 470 130 133
​ 471 130 133
​ 472 130 134
​ 473 130 133
​ 474 130 132
​ 475 130 132
​ 476 130 132
​ 477 130 132
​ 478 129 133
​ 479 132 130
​ 480 132 130
​ 481 132 130
​ 482 133 127
​ 483 133 128
​ 484 132 127
​ 485 133 128
​ 486 133 128
​ 487 133 129
​ 488 133 129
​ 489 134 128
​ 490 134 128
​ 491 134 128
​ 492 134 128
​ 493 134 128
​ 494 133 128
​ 495 134 127
​ 496 134 127
​ 497 134 128
​ 498 134 128
​ 499 134 129
​ 500 135 128
​ 501 136 128
​ 502 135 131
​ 503 136 130
​ 504 136 130
​ 505 136 129
​ 506 136 127
​ 507 137 126
​ 508 137 126
​ 509 137 124
​ 510 138 122
​ 511 138 122
​ 512 138 122
​ 513 138 122
​ 514 140 122
​ 515 140 122
​ 516 140 125
​ 517 140 125
​ 518 140 126
​ 519 140 126
​ 520 140 124
​ 521 139 122
​ 522 140 120
​ 523 141 119
​ 524 142 120
​ 525 142 119
​ 526 142 119
​ 527 142 119
​ 528 143 118
​ 529 142 118
​ 530 143 117
​ 531 143 115
​ 532 144 114
​ 533 144 114
​ 534 144 115
​ 535 145 115
​ 536 146 114
​ 537 147 113
​ 538 147 113
​ 539 147 113
​ 540 147 112
​ 541 147 114
​ 542 147 114
​ 543 147 114
​ 544 146 115
​ 545 147 115
​ 546 148 114
​ 547 148 114
​ 548 148 114
​ 549 148 114
​ 550 148 113
​ 551 148 113
​ 552 146 109
​ 553 134 107
​ 554 132 107
​ 555 132 108
​ 556 132 108
​ 557 132 106
​ 558 131 107
​ 559 131 104
​ 560 131 104
​ 561 131 105
​ 562 131 107
​ 563 130 105
​ 564 132 103
​ 565 132 103
​ 566 132 103
​ 567 131 104
​ 568 131 104
​ 569 131 104
​ 570 131 104
​ 571 131 104
​ 572 131 103
​ 573 131 103
​ 574 131 102
​ 575 131 102
​ 576 132 102
​ 577 133 100
​ 578 133 101
​ 579 134 99
​ 580 132 100
​ 581 133 99
​ 582 133 99
​ 583 133 100
​ 584 132 101
​ 585 133 100
​ 586 133 100
​ 587 134 99
​ 588 133 99
​ 589 135 97
​ 590 135 97
​ 591 135 96
​ 592 135 97
​ 593 135 97
​ 594 135 99
​ 595 135 99
​ 596 136 96
​ 597 135 96
​ 598 136 95
​ 599 137 93
​ 600 137 93
​ 601 137 93
​ 602 137 93
​ 603 136 93
​ 604 137 92
​ 605 137 92
​ 606 137 92
​ 607 137 92
​ 608 137 92
​ 609 137 92
​ 610 138 92
​ 611 138 91
​ 612 138 91
​ 613 138 90
​ 614 139 88
​ 615 140 87
​ 616 141 86
​ 617 141 86
​ 618 140 87
​ 619 143 85
​ 620 143 84
​ 621 143 83
​ 622 143 87
​ 623 142 87
​ 624 142 87
​ 625 141 86
​ 626 143 84
​ 627 143 83
​ 628 143 84
​ 629 141 83
​ 630 141 82
​ 631 143 79
​ 632 143 80
​ 633 144 78
​ 634 144 77
​ 635 144 77
​ 636 144 76
​ 637 145 76
​ 638 145 76
​ 639 145 77
​ 640 144 77
​ 641 144 76
​ 642 146 74
​ 643 147 73
​ 644 148 73
​ 645 149 73
​ 646 149 75
​ 647 149 76
​ 648 149 79
​ 649 149 80
​ 650 152 78
​ 651 152 84
​ 652 153 83
​ 653 153 85
​ 654 153 85
​ 655 153 85
​ 656 154 82
​ 657 154 82
​ 658 153 84
​ 659 154 83
​ 660 154 83
​ 661 154 83
​ 662 154 82
​ 663 154 82
​ 664 154 82
​ 665 153 82
​ 666 154 80
​ 667 154 79
​ 668 155 77
​ 669 155 77
​ 670 155 77
​ 671 155 76
​ 672 155 76
​ 673 156 75
​ 674 158 72
​ 675 158 72
​ 676 157 71
​ 677 157 72
​ 678 157 73
​ 679 158 74
​ 680 158 75
​ 681 159 74
​ 682 159 75
​ 683 159 75
​ 684 159 75
​ 685 159 74
​ 686 159 75
​ 687 159 76
​ 688 160 78
​ 689 160 78
​ 690 160 78
​ 691 160 79
​ 692 160 80
​ 693 160 80
​ 694 161 78
​ 695 161 78
​ 696 161 77
​ 697 161 77
​ 698 161 77
​ 699 160 79
​ 700 160 76
​ 701 160 76
​ 702 160 76
​ 703 161 75
​ 704 161 76
​ 705 161 77
​ 706 161 77
​ 707 161 78
​ 708 161 78
​ 709 161 78
​ 710 162 77
​ 711 162 77
​ 712 162 78
​ 713 162 80
​ 714 162 79
​ 715 162 79
​ 716 162 80
​ 717 162 81
​ 718 162 81
​ 719 162 81
​ 720 164 79
​ 721 163 79
​ 722 164 78
​ 723 164 78
​ 724 163 77
​ 725 165 75
​ 726 165 75
​ 727 165 73
​ 728 165 73
​ 729 166 73
​ 730 165 74
​ 731 165 74
​ 732 165 73
​ 733 164 73
​ 734 165 71
​ 735 165 71
​ 736 165 71
​ 737 165 71
​ 738 166 70
​ 739 166 70
​ 740 166 69
​ 741 166 69
​ 742 167 68
​ 743 167 68
​ 744 167 68
​ 745 167 67
​ 746 169 64
​ 747 169 64
​ 748 169 64
​ 749 169 64
​ 750 170 63
​ 751 171 63
​ 752 171 63
​ 753 171 62
​ 754 171 62
​ 755 171 62
​ 756 171 62
​ 757 171 63
​ 758 171 63
​ 759 171 64
​ 760 171 64
​ 761 173 62
​ 762 175 60
​ 763 175 60
​ 764 175 61
​ 765 175 61
​ 766 177 59
​ 767 177 59
​ 768 177 60
​ 769 177 60
​ 770 177 59
​ 771 178 58
​ 772 178 57
​ 773 178 57
​ 774 179 55
​ 775 179 56
​ 776 179 56
​ 777 179 57
​ 778 180 56
​ 779 180 56
​ 780 181 55
​ 781 181 54
​ 782 181 54
​ 783 181 54
​ 784 183 51
​ 785 183 51
​ 786 183 50
​ 787 183 50
​ 788 184 49
​ 789 184 49
​ 790 185 48
​ 791 185 51
​ 792 186 49
​ 793 186 49
​ 794 186 48
​ 795 186 47
​ 796 188 45
​ 797 189 43
​ 798 190 42
​ 799 190 42
​ 800 190 42
​ 801 190 42
​ 802 190 41
​ 803 190 41
​ 804 191 39
​ 805 191 39
​ 806 191 39
​ 807 191 39
​ 808 191 38
​ 809 191 36
​ 810 191 35
​ 811 191 35
​ 812 192 34
​ 813 192 34
​ 814 192 35
​ 815 192 35
​ 816 192 35
​ 817 192 35
​ 818 192 34
​ 819 192 32
​ 820 192 32
​ 821 192 31
​ 822 192 31
​ 823 192 31
​ 824 191 31
​ 825 191 31
​ 826 191 31
​ 827 191 32
​ 828 191 32
​ 829 191 32
​ 830 191 32
​ 831 191 33
​ 832 191 34
​ 833 191 34
​ 834 191 34
​ 835 191 34
​ 836 191 34
​ 837 191 34
​ 838 190 34
​ 839 189 34
​ 840 189 33
​ 841 191 31
​ 842 191 32
​ 843 191 34
​ 844 192 33
​ 845 192 34
​ 846 192 36
​ 847 192 36
​ 848 192 36
​ 849 192 36
​ 850 192 36
​ 851 192 37
​ 852 192 37
​ 853 192 37
​ 854 192 37
​ 855 192 37
​ 856 192 36
​ 857 192 35
​ 858 192 34
​ 859 192 34
​ 860 192 34
​ 861 192 34
​ 862 191 34
​ 863 191 33
​ 864 191 34
​ 865 191 36
​ 866 190 37
​ 867 189 38
​ 868 189 38
​ 869 188 38
​ 870 188 38
​ 871 187 38
​ 872 186 38
​ 873 186 39
​ 874 186 39
​ 875 186 39
​ 876 187 39
​ 877 187 39
​ 878 186 38
​ 879 186 38
​ 880 186 39
​ 881 186 39
​ 882 185 38
​ 883 185 38
​ 884 185 37
​ 885 185 41
​ 886 185 42
​ 887 185 42
​ 888 185 40
​ 889 185 40
​ 890 185 40
​ 891 184 41
​ 892 183 41
​ 893 183 42
​ 894 183 41
​ 895 183 41
​ 896 183 41
​ 897 183 43
​ 898 183 43
​ 899 183 43
​ 900 183 42
​ 901 184 41
​ 902 184 41
​ 903 183 41
​ 904 184 41
​ 905 184 42
​ 906 181 42
​ 907 180 42
​ 908 181 41
​ 909 181 41
​ 910 181 41
​ 911 182 40
​ 912 182 40
​ 913 182 39
​ 914 183 38
​ 915 183 39
​ 916 182 37
​ 917 181 37
​ 918 180 36
​ 919 180 39
​ 920 179 40
​ 921 179 40
​ 922 179 42
​ 923 179 41
​ 924 179 42
​ 925 179 42
​ 926 180 41
​ 927 180 41
​ 928 180 42
​ 929 180 42
​ 930 180 42
​ 931 180 42
​ 932 180 41
​ 933 180 38
​ 934 180 38
​ 935 179 38
​ 936 179 39
​ 937 177 39
​ 938 177 38
​ 939 177 38
​ 940 177 37
​ 941 177 37
​ 942 177 35
​ 943 177 35
​ 944 176 35
​ 945 176 37
​ 946 175 38
​ 947 175 36
​ 948 174 35
​ 949 175 35
​ 950 176 34
​ 951 176 33
​ 952 178 31
​ 953 178 31
​ 954 178 33
​ 955 177 36
​ 956 176 36
​ 957 176 36
​ 958 176 36
​ 959 176 36
​ 960 176 36
​ 961 176 35
​ 962 177 34
​ 963 177 35
​ 964 177 35
​ 965 178 34
​ 966 178 34
​ 967 178 34
​ 968 178 34
​ 969 178 34
​ 970 178 34
​ 971 178 33
​ 972 178 33
​ 973 178 33
​ 974 178 33
​ 975 178 33
​ 976 178 33
​ 977 178 33
​ 978 178 33
​ 979 179 32
​ 980 179 32
​ 981 179 32
​ 982 180 31
​ 983 180 30
​ 984 180 30
​ 985 180 30
​ 986 180 29
​ 987 178 29
​ 988 178 29
​ 989 178 29
​ 990 178 30
​ 991 178 29
​ 992 178 28
​ 993 177 26
​ 994 177 26
​ 995 177 26
​ 996 178 25
​ 997 178 25
​ 998 178 25
​ 999 177 25
​ 1000 175 25
​ 1001 175 25
​ 1002 173 24
​ 1003 173 24
​ 1004 174 23
​ 1005 174 23
​ 1006 174 23
​ 1007 172 24
​ 1008 172 24
​ 1009 172 22
​ 1010 170 22
​ 1011 169 22
​ 1012 169 22
​ 1013 169 22
​ 1014 169 22
​ 1015 169 22
​ 1016 169 21
​ 1017 169 21
​ 1018 169 21
​ 1019 169 21
​ 1020 169 21
​ 1021 169 21
​ 1022 169 21
​ 1023 169 21
​ 1024 169 21
​ 1025 169 20
​ 1026 169 20
​ 1027 169 20
​ 1028 169 19
​ 1029 168 20
​ 1030 168 20
​ 1031 167 21
​ 1032 167 21
​ 1033 166 21
​ 1034 166 21
​ 1035 166 21
​ 1036 166 21
​ 1037 166 21
​ 1038 166 22
​ 1039 165 22
​ 1040 164 22
​ 1041 164 22
​ 1042 164 22
​ 1043 164 22
​ 1044 164 22
​ 1045 164 22
​ 1046 164 21
​ 1047 164 21
​ 1048 164 22
​ 1049 164 21
​ 1050 164 21
​ 1051 161 21
​ 1052 161 21
​ 1053 161 21
​ 1054 161 20
​ 1055 161 20
​ 1056 161 20
​ 1057 159 21
​ 1058 159 21
​ 1059 160 20
​ 1060 160 20
​ 1061 159 20
​ 1062 159 18
​ 1063 159 17
​ 1064 159 17
​ 1065 159 17
​ 1066 159 17
​ 1067 159 17
​ 1068 159 16
​ 1069 159 16
​ 1070 159 16
​ 1071 159 16
​ 1072 159 15
​ 1073 160 14
​ 1074 158 15
​ 1075 158 15
​ 1076 158 15
​ 1077 158 15
​ 1078 159 14
​ 1079 159 14
​ 1080 158 14
​ 1081 158 14
​ 1082 158 14
​ 1083 158 14
​ 1084 157 14
​ 1085 157 14
​ 1086 156 15
​ 1087 156 15
​ 1088 156 15
​ 1089 155 15
​ 1090 155 15
​ 1091 155 15
​ 1092 155 15
​ 1093 155 15
​ 1094 155 15
​ 1095 156 12
​ 1096 156 12
​ 1097 156 12
​ 1098 156 12
​ 1099 156 12
​ 1100 157 11
​ 1101 157 11
​ 1102 155 10
​ 1103 154 11
​ 1104 154 12
​ 1105 153 12
​ 1106 153 12
​ 1107 153 12
​ 1108 153 12
​ 1109 153 12
​ 1110 153 12
​ 1111 153 12
​ 1112 153 12
​ 1113 153 12
​ 1114 152 12
​ 1115 151 11
​ 1116 151 11
​ 1117 151 11
​ 1118 151 11
​ 1119 151 11
​ 1120 151 11
​ 1121 151 10
​ 1122 151 10
​ 1123 151 10
​ 1124 151 10
​ 1125 150 10
​ 1126 148 10
​ 1127 147 10
​ 1128 147 10
​ 1129 145 10
​ 1130 145 10
​ 1131 145 10
​ 1132 145 10
​ 1133 145 10
​ 1134 145 10
​ 1135 145 13
​ 1136 144 13
​ 1137 144 14
​ 1138 144 14
​ 1139 144 14
​ 1140 144 14
​ 1141 142 13
​ 1142 142 13
​ 1143 142 12
​ 1144 142 13
​ 1145 142 13
​ 1146 141 13
​ 1147 141 13
​ 1148 141 13
​ 1149 140 13
​ 1150 140 12
​ 1151 140 12
​ 1152 140 12
​ 1153 140 12
​ 1154 139 12
​ 1155 139 12
​ 1156 139 12
​ 1157 139 11
​ 1158 139 11
​ 1159 139 11
​ 1160 139 11
​ 1161 139 11
​ 1162 137 10
​ 1163 137 10
​ 1164 135 10
​ 1165 135 10
​ 1166 135 10
​ 1167 135 10
​ 1168 134 10
​ 1169 133 10
​ 1170 133 10
​ 1171 133 10
​ 1172 133 9
​ 1173 133 9
​ 1174 133 9
​ 1175 132 9
​ 1176 131 8
​ 1177 131 7
​ 1178 131 7
​ 1179 132 6
​ 1180 132 6
​ 1181 131 6
​ 1182 131 6
​ 1183 131 6
​ 1184 130 6
​ 1185 130 6
​ 1186 130 6
​ 1187 129 6
​ 1188 128 6
​ 1189 128 6
​ 1190 128 6
​ 1191 128 6
​ 1192 128 6
​ 1193 127 6
​ 1194 127 6
​ 1195 124 6
​ 1196 124 5
​ 1197 123 5
​ 1198 123 5
​ 1199 123 5
​ 1200 121 5
​ 1201 121 5
​ 1202 120 5
​ 1203 120 5
​ 1204 120 5
​ 1205 120 5
​ 1206 119 6
​ 1207 119 6
​ 1208 119 6
​ 1209 119 6
​ 1210 119 6
​ 1211 119 6
​ 1212 119 6
​ 1213 119 6
​ 1214 119 6
​ 1215 119 6
​ 1216 119 6
​ 1217 119 6
​ 1218 118 6
​ 1219 118 6
​ 1220 117 6
​ 1221 116 6
​ 1222 116 6
​ 1223 116 6
​ 1224 113 6
​ 1225 112 6
​ 1226 112 6
​ 1227 111 6
​ 1228 111 6
​ 1229 110 5
​ 1230 109 6
​ 1231 108 7
​ 1232 108 7
​ 1233 108 6
​ 1234 108 6
​ 1235 108 6
​ 1236 108 7
​ 1237 108 7
​ 1238 108 7
​ 1239 107 7
​ 1240 107 7
​ 1241 107 7
​ 1242 107 7
​ 1243 107 7
​ 1244 107 7
​ 1245 106 7
​ 1246 106 7
​ 1247 106 7
​ 1248 106 7
​ 1249 106 7
​ 1250 106 7
​ 1251 106 7
​ 1252 106 7
​ 1253 105 7
​ 1254 105 7
​ 1255 104 7
​ 1256 104 7
​ 1257 104 7
​ 1258 104 7
​ 1259 104 7
​ 1260 103 7
​ 1261 103 7
​ 1262 103 8
​ 1263 103 8
​ 1264 103 8
​ 1265 103 8
​ 1266 103 10
​ 1267 103 10
​ 1268 103 10
​ 1269 103 10
​ 1270 102 11
​ 1271 102 13
​ 1272 101 13
​ 1273 98 13
​ 1274 98 13
​ 1275 96 13
​ 1276 96 14
​ 1277 96 14
​ 1278 96 14
​ 1279 96 14
​ 1280 94 15
​ 1281 94 15
​ 1282 94 15
​ 1283 94 15
​ 1284 94 16
​ 1285 94 16
​ 1286 94 16
​ 1287 94 16
​ 1288 94 15
​ 1289 94 15
​ 1290 93 16
​ 1291 93 16
​ 1292 92 18
​ 1293 91 18
​ 1294 91 18
​ 1295 91 18
​ 1296 90 18
​ 1297 90 19
​ 1298 89 19
​ 1299 89 19
​ 1300 89 19
​ 1301 87 20
​ 1302 85 20
​ 1303 85 20
​ 1304 85 20
​ 1305 85 21
​ 1306 85 21
​ 1307 85 22
​ 1308 85 22
​ 1309 85 22
​ 1310 85 22
​ 1311 83 22
​ 1312 82 22
​ 1313 81 22
​ 1314 80 22
​ 1315 80 22
​ 1316 78 24
​ 1317 78 25
​ 1318 78 24
​ 1319 78 26
​ 1320 78 26
​ 1321 77 27
​ 1322 77 27
​ 1323 77 27
​ 1324 77 26
​ 1325 77 26
​ 1326 77 26
​ 1327 77 26
​ 1328 76 27
​ 1329 76 27
​ 1330 76 27
​ 1331 74 30
​ 1332 74 31
​ 1333 73 32
​ 1334 73 32
​ 1335 72 32
​ 1336 72 32
​ 1337 71 32
​ 1338 71 30
​ 1339 70 30
​ 1340 69 31
​ 1341 69 31
​ 1342 68 31
​ 1343 68 30
​ 1344 67 32
​ 1345 66 32
​ 1346 66 33
​ 1347 64 33
​ 1348 63 33
​ 1349 63 33
​ 1350 63 34
​ 1351 63 35
​ 1352 63 35
​ 1353 63 37
​ 1354 62 38
​ 1355 61 38
​ 1356 61 38
​ 1357 61 38
​ 1358 61 38
​ 1359 61 46
​ 1360 61 49
​ 1361 61 52
​ 1362 61 57
​ 1363 60 59
​ 1364 60 61
​ 1365 60 63
​ 1366 59 63
​ 1367 59 65
​ 1368 59 66
​ 1369 59 67
​ 1370 59 69
​ 1371 59 73
​ 1372 58 76
​ 1373 58 81
​ 1374 58 81
​ 1375 57 83
​ 1376 57 84
​ 1377 57 85
​ 1378 57 85
​ 1379 57 85
​ 1380 57 88
​ 1381 57 88
​ 1382 57 89
​ 1383 57 89
​ 1384 57 91
​ 1385 57 93
​ 1386 57 94
​ 1387 57 95
​ 1388 57 96
​ 1389 57 97
​ 1390 56 98
​ 1391 56 99
​ 1392 56 100
​ 1393 56 101
​ 1394 54 101
​ 1395 54 101
​ 1396 54 101
​ 1397 54 101
​ 1398 54 101
​ 1399 54 102
​ 1400 54 104
​ 1401 54 104
​ 1402 55 105
​ 1403 56 105
​ 1404 57 104
​ 1405 57 107
​ 1406 57 107
​ 1407 57 107
​ 1408 57 107
​ 1409 60 104
​ 1410 60 104
​ 1411 60 104
​ 1412 60 106
​ 1413 60 108
​ 1414 60 108
​ 1415 60 107
​ 1416 60 107
​ 1417 60 107
​ 1418 60 107
​ 1419 61 107
​ 1420 61 107
​ 1421 61 108
​ 1422 61 109
​ 1423 62 109
​ 1424 63 108
​ 1425 63 108
​ 1426 62 108
​ 1427 62 108
​ 1428 63 109
​ 1429 63 109
​ 1430 63 109
​ 1431 64 110
​ 1432 64 110
​ 1433 64 110
​ 1434 64 110
​ 1435 64 111
​ 1436 64 111
​ 1437 64 112
​ 1438 64 112
​ 1439 64 112
