​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ NONE 0.15 550 0.35 0.95 250
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
build.js:110 566 186 63
build.js:110 567 188 61
build.js:110 568 188 62
build.js:110 569 188 62
build.js:110 570 188 62
build.js:110 571 189 60
build.js:110 572 190 59
build.js:110 573 190 59
build.js:110 574 188 58
build.js:110 575 188 59
build.js:110 576 188 59
build.js:110 577 188 59
build.js:110 578 188 60
build.js:110 579 188 60
build.js:110 580 188 59
build.js:110 581 188 59
build.js:110 582 188 58
build.js:110 583 189 57
build.js:110 584 189 57
build.js:110 585 189 56
build.js:110 586 189 54
build.js:110 587 188 55
build.js:110 588 189 54
build.js:110 589 190 52
build.js:110 590 190 52
build.js:110 591 190 51
build.js:110 592 191 50
build.js:110 593 191 50
build.js:110 594 192 51
build.js:110 595 193 50
build.js:110 596 192 50
build.js:110 597 193 49
build.js:110 598 194 49
build.js:110 599 194 48
build.js:110 600 194 49
build.js:110 601 195 47
build.js:110 602 195 48
build.js:110 603 196 47
build.js:110 604 196 46
build.js:110 605 196 46
build.js:110 606 196 46
build.js:110 607 196 45
build.js:110 608 196 44
build.js:110 609 196 44
build.js:110 610 196 42
build.js:110 611 197 41
build.js:110 612 197 42
build.js:110 613 197 42
build.js:110 614 197 42
build.js:110 615 197 42
build.js:110 616 197 41
build.js:110 617 198 39
build.js:110 618 198 39
build.js:110 619 198 39
build.js:110 620 198 38
build.js:110 621 198 38
build.js:110 622 198 38
build.js:110 623 197 38
build.js:110 624 197 38
build.js:110 625 197 38
build.js:110 626 197 37
build.js:110 627 197 37
build.js:110 628 197 37
build.js:110 629 197 37
build.js:110 630 196 37
build.js:110 631 197 35
build.js:110 632 197 36
build.js:110 633 197 36
build.js:110 634 197 36
build.js:110 635 197 34
build.js:110 636 199 32
build.js:110 637 199 32
build.js:110 638 199 32
build.js:110 639 199 32
build.js:110 640 200 30
build.js:110 641 200 30
build.js:110 642 200 30
build.js:110 643 200 30
build.js:110 644 199 29
build.js:110 645 199 29
build.js:110 646 198 29
build.js:110 647 199 28
build.js:110 648 199 29
build.js:110 649 199 30
build.js:110 650 199 30
build.js:110 651 199 30
build.js:110 652 199 30
build.js:110 653 199 30
build.js:110 654 200 30
build.js:110 655 200 30
build.js:110 656 200 29
build.js:110 657 200 29
build.js:110 658 200 29
build.js:110 659 199 28
build.js:110 660 199 28
build.js:110 661 199 28
build.js:110 662 199 29
build.js:110 663 199 31
build.js:110 664 200 30
build.js:110 665 200 31
build.js:110 666 200 30
build.js:110 667 200 29
build.js:110 668 200 29
build.js:110 669 200 30
build.js:110 670 200 30
build.js:110 671 200 30
build.js:110 672 200 30
build.js:110 673 200 30
build.js:110 674 200 30
build.js:110 675 200 30
build.js:110 676 200 30
build.js:110 677 199 30
build.js:110 678 198 29
build.js:110 679 198 29
build.js:110 680 198 29
build.js:110 681 198 29
build.js:110 682 198 29
build.js:110 683 197 29
build.js:110 684 198 27
build.js:110 685 199 26
build.js:110 686 199 26
build.js:110 687 199 26
build.js:110 688 198 26
build.js:110 689 198 24
build.js:110 690 199 23
build.js:110 691 199 23
build.js:110 692 198 23
build.js:110 693 199 23
build.js:110 694 199 23
build.js:110 695 199 23
build.js:110 696 199 23
build.js:110 697 199 23
build.js:110 698 199 21
build.js:110 699 199 21
build.js:110 700 199 21
build.js:110 701 199 20
build.js:110 702 198 20
build.js:110 703 199 20
build.js:110 704 199 18
build.js:110 705 199 18
build.js:110 706 201 16
build.js:110 707 201 16
build.js:110 708 201 16
build.js:110 709 201 16
build.js:110 710 200 16
build.js:110 711 200 16
build.js:110 712 200 16
build.js:110 713 200 16
build.js:110 714 199 16
build.js:110 715 199 16
build.js:110 716 199 16
build.js:110 717 199 16
build.js:110 718 199 16
build.js:110 719 199 16
build.js:110 720 199 16
build.js:110 721 199 16
build.js:110 722 199 16
build.js:110 723 199 16
build.js:110 724 200 15
build.js:110 725 200 15
build.js:110 726 200 14
build.js:110 727 200 14
build.js:110 728 200 14
build.js:110 729 200 14
build.js:110 730 200 14
build.js:110 731 200 14
build.js:110 732 200 14
build.js:110 733 200 14
build.js:110 734 199 14
build.js:110 735 200 13
build.js:110 736 200 13
build.js:110 737 200 13
build.js:110 738 200 14
build.js:110 739 201 13
build.js:110 740 201 13
build.js:110 741 201 13
build.js:110 742 201 13
build.js:110 743 201 13
build.js:110 744 201 13
build.js:110 745 201 13
build.js:110 746 201 13
build.js:110 747 201 13
build.js:110 748 201 13
build.js:110 749 201 13
build.js:110 750 201 13
build.js:110 751 201 13
build.js:110 752 201 12
build.js:110 753 201 12
build.js:110 754 201 12
build.js:110 755 201 12
build.js:110 756 200 12
build.js:110 757 199 11
build.js:110 758 199 11
build.js:110 759 199 11
build.js:110 760 199 11
build.js:110 761 197 11
build.js:110 762 197 11
build.js:110 763 197 11
build.js:110 764 197 11
build.js:110 765 197 11
build.js:110 766 197 11
build.js:110 767 197 11
build.js:110 768 197 11
build.js:110 769 197 10
build.js:110 770 197 10
build.js:110 771 196 10
build.js:110 772 196 10
build.js:110 773 196 9
build.js:110 774 195 9
build.js:110 775 195 9
build.js:110 776 196 8
build.js:110 777 195 8
build.js:110 778 193 8
